table_schema,table_name,column_name,data_type,row_count,null_count,null_rate,approx_distinct,approx_distinct_rate,min_value,max_value,profile_seconds
main,car_int,CAR_INT,TINYINT,6,0,0.0,6,1.0,1,6,0.001
main,car_int,DESCRICAO,VARCHAR,6,0,0.0,6,1.0,Acidente no local trabalho ou a serv da empresa,Urgência,0.001
main,cbor,CBOR,VARCHAR,2812,0,0.0,3292,1.170697,010105,992225,0.001
main,cbor,DESCRICAO,VARCHAR,2812,0,0.0,2428,0.863442,Abatedor,Zootecnista,0.001
main,cid,CID,VARCHAR,14253,0,0.0,15266,1.071073,A00,Z999,0.007
main,cid,DESCRICAO,VARCHAR,14253,0,0.0,12510,0.87771,2-propanol,Zona cloacogenica,0.007
main,cid,TP_NIVEL,VARCHAR,14253,0,0.0,2,0.00014,CAT,SUBCAT,0.007
main,cid,RESTRSEXO,VARCHAR,14253,0,0.0,3,0.00021,1,5,0.007
main,cid,DS_CATEGORIA,VARCHAR,14253,18,0.001263,2390,0.167684,Abortamento habitual,Zigomicose,0.007
main,cid,DS_GRUPO,VARCHAR,14253,0,0.0,235,0.016488,A00-A09 Doenças infecciosas intestinais,Z80-Z99 Pessoas com riscos relacionados com história pessoal e familiar,0.007
main,cid,DS_CAPITULO,VARCHAR,14253,0,0.0,27,0.001894,I. Algumas doenças infecciosas e parasitárias,XXII. Códigos para propósitos especiais,0.007
main,complexidade,COMPLEX,VARCHAR,3,0,0.0,3,1.0,01,03,0.001
main,complexidade,DESCRICAO,VARCHAR,3,0,0.0,3,1.0,Alta complexidade,Média complexidade,0.001
main,contraceptivos,CONTRACEPTIVO,TINYINT,12,0,0.0,13,1.083333,1,12,0.001
main,contraceptivos,DESCRICAO,VARCHAR,12,0,0.0,12,1.0,Billings,Temperatura basal,0.001
main,especialidade,ESPEC,TINYINT,70,0,0.0,78,1.114286,1,95,0.001
main,especialidade,DESCRICAO,VARCHAR,70,0,0.0,65,0.928571,ACOLHIMENTO NOTURNO,UTI PEDIATRICA - TIPO III,0.001
main,etnia,ETNIA,SMALLINT,264,0,0.0,291,1.102273,1,264,0.001
main,etnia,DESCRICAO,VARCHAR,264,0,0.0,273,1.034091,"ACONA (WAKONAS, NACONAS, JAKONA, ACORA­NES)","ZURUAHA (SOROWAHA, SURUWAHA)",0.001
main,hospital,CNES,INTEGER,6873,0,0.0,7137,1.038411,27,9997784,0.003
main,hospital,NO_HOSPITAL,VARCHAR,6873,3146,0.457733,3567,0.518987,ABIMED SERVICOS MEDICOS LTDA,Y A PENHA E CIA LTDA,0.003
main,hospital,MUNIC_MOV,INTEGER,6873,0,0.0,3836,0.558126,110001,530180,0.003
main,hospital,NATUREZA,VARCHAR,6873,0,0.0,10,0.001455,00,80,0.003
main,hospital,GESTAO,VARCHAR,6873,0,0.0,2,0.000291,1,2,0.003
main,hospital,NAT_JUR,VARCHAR,6873,5575,0.811145,29,0.004219,,3999,0.003
main,instrucao,INSTRU,TINYINT,4,0,0.0,4,1.0,1,4,0.001
main,instrucao,DESCRICAO,VARCHAR,4,0,0.0,4,1.0,1º grau,Analfabeto,0.001
main,internacao_procedimento,id_atendimento,UBIGINT,187957888,0,0.0,189721322,1.009382,0,187957887,3.057
main,internacao_procedimento,N_AIH,BIGINT,187957888,0,0.0,248163325,1.320313,1107100903524,9923300006499,3.057
main,internacao_procedimento,PROC_REA,BIGINT,187957888,0,0.0,1813,1e-05,201010038,506020134,3.057
main,internacoes,N_AIH,BIGINT,183877219,0,0.0,248163325,1.349614,1107100903524,9923300006499,54.221
main,internacoes,CNES,INTEGER,183877219,0,0.0,7137,3.9e-05,27,9997784,54.221
