table_schema,table_name,column_name,data_type,row_count,null_count,null_rate,profile_tier,profile_mode,exact_distinct_count,approx_distinct_count,distinct_count_for_catalog,distinct_is_exact,distinct_rate,min_value,max_value,profile_seconds,profile_sql
main,car_int,CAR_INT,TINYINT,6,0,0.0,small,exact,6,,6,True,1.0,1,6,0.001,"SELECT COUNT(*) FILTER (WHERE ""CAR_INT"" IS NULL) AS null_count, COUNT(DISTINCT ""CAR_INT"") AS distinct_count, MIN(""CAR_INT"") AS min_value, MAX(""CAR_INT"") AS max_value FROM ""main"".""car_int"""
main,car_int,DESCRICAO,VARCHAR,6,0,0.0,small,exact,6,,6,True,1.0,Acidente no local trabalho ou a serv da empresa,Urgência,0.001,"SELECT COUNT(*) FILTER (WHERE ""DESCRICAO"" IS NULL) AS null_count, COUNT(DISTINCT ""DESCRICAO"") AS distinct_count, MIN(""DESCRICAO"") AS min_value, MAX(""DESCRICAO"") AS max_value FROM ""main"".""car_int"""
main,cbor,CBOR,VARCHAR,2812,0,0.0,small,exact,2812,,2812,True,1.0,010105,992225,0.002,"SELECT COUNT(*) FILTER (WHERE ""CBOR"" IS NULL) AS null_count, COUNT(DISTINCT ""CBOR"") AS distinct_count, MIN(""CBOR"") AS min_value, MAX(""CBOR"") AS max_value FROM ""main"".""cbor"""
main,cbor,DESCRICAO,VARCHAR,2812,0,0.0,small,exact,2738,,2738,True,0.973684,Abatedor,Zootecnista,0.001,"SELECT COUNT(*) FILTER (WHERE ""DESCRICAO"" IS NULL) AS null_count, COUNT(DISTINCT ""DESCRICAO"") AS distinct_count, MIN(""DESCRICAO"") AS min_value, MAX(""DESCRICAO"") AS max_value FROM ""main"".""cbor"""
main,cid,CID,VARCHAR,14253,0,0.0,small,exact,14253,,14253,True,1.0,A00,Z999,0.002,"SELECT COUNT(*) FILTER (WHERE ""CID"" IS NULL) AS null_count, COUNT(DISTINCT ""CID"") AS distinct_count, MIN(""CID"") AS min_value, MAX(""CID"") AS max_value FROM ""main"".""cid"""
main,cid,DESCRICAO,VARCHAR,14253,0,0.0,small,exact,10856,,10856,True,0.761664,2-propanol,Zona cloacogenica,0.002,"SELECT COUNT(*) FILTER (WHERE ""DESCRICAO"" IS NULL) AS null_count, COUNT(DISTINCT ""DESCRICAO"") AS distinct_count, MIN(""DESCRICAO"") AS min_value, MAX(""DESCRICAO"") AS max_value FROM ""main"".""cid"""
main,cid,TP_NIVEL,VARCHAR,14253,0,0.0,small,exact,2,,2,True,0.00014,CAT,SUBCAT,0.001,"SELECT COUNT(*) FILTER (WHERE ""TP_NIVEL"" IS NULL) AS null_count, COUNT(DISTINCT ""TP_NIVEL"") AS distinct_count, MIN(""TP_NIVEL"") AS min_value, MAX(""TP_NIVEL"") AS max_value FROM ""main"".""cid"""
main,cid,RESTRSEXO,VARCHAR,14253,0,0.0,small,exact,3,,3,True,0.00021,1,5,0.001,"SELECT COUNT(*) FILTER (WHERE ""RESTRSEXO"" IS NULL) AS null_count, COUNT(DISTINCT ""RESTRSEXO"") AS distinct_count, MIN(""RESTRSEXO"") AS min_value, MAX(""RESTRSEXO"") AS max_value FROM ""main"".""cid"""
main,cid,DS_CATEGORIA,VARCHAR,14253,18,0.001263,small,exact,2039,,2039,True,0.143058,Abortamento habitual,Zigomicose,0.002,"SELECT COUNT(*) FILTER (WHERE ""DS_CATEGORIA"" IS NULL) AS null_count, COUNT(DISTINCT ""DS_CATEGORIA"") AS distinct_count, MIN(""DS_CATEGORIA"") AS min_value, MAX(""DS_CATEGORIA"") AS max_value FROM ""main"".""cid"""
main,cid,DS_GRUPO,VARCHAR,14253,0,0.0,small,exact,226,,226,True,0.015856,A00-A09 Doenças infecciosas intestinais,Z80-Z99 Pessoas com riscos relacionados com história pessoal e familiar,0.001,"SELECT COUNT(*) FILTER (WHERE ""DS_GRUPO"" IS NULL) AS null_count, COUNT(DISTINCT ""DS_GRUPO"") AS distinct_count, MIN(""DS_GRUPO"") AS min_value, MAX(""DS_GRUPO"") AS max_value FROM ""main"".""cid"""
main,cid,DS_CAPITULO,VARCHAR,14253,0,0.0,small,exact,22,,22,True,0.001544,I. Algumas doenças infecciosas e parasitárias,XXII. Códigos para propósitos especiais,0.001,"SELECT COUNT(*) FILTER (WHERE ""DS_CAPITULO"" IS NULL) AS null_count, COUNT(DISTINCT ""DS_CAPITULO"") AS distinct_count, MIN(""DS_CAPITULO"") AS min_value, MAX(""DS_CAPITULO"") AS max_value FROM ""main"".""cid"""
main,complexidade,COMPLEX,VARCHAR,3,0,0.0,small,exact,3,,3,True,1.0,01,03,0.001,"SELECT COUNT(*) FILTER (WHERE ""COMPLEX"" IS NULL) AS null_count, COUNT(DISTINCT ""COMPLEX"") AS distinct_count, MIN(""COMPLEX"") AS min_value, MAX(""COMPLEX"") AS max_value FROM ""main"".""complexidade"""
main,complexidade,DESCRICAO,VARCHAR,3,0,0.0,small,exact,3,,3,True,1.0,Alta complexidade,Média complexidade,0.0,"SELECT COUNT(*) FILTER (WHERE ""DESCRICAO"" IS NULL) AS null_count, COUNT(DISTINCT ""DESCRICAO"") AS distinct_count, MIN(""DESCRICAO"") AS min_value, MAX(""DESCRICAO"") AS max_value FROM ""main"".""complexidade"""
main,contraceptivos,CONTRACEPTIVO,TINYINT,12,0,0.0,small,exact,12,,12,True,1.0,1,12,0.001,"SELECT COUNT(*) FILTER (WHERE ""CONTRACEPTIVO"" IS NULL) AS null_count, COUNT(DISTINCT ""CONTRACEPTIVO"") AS distinct_count, MIN(""CONTRACEPTIVO"") AS min_value, MAX(""CONTRACEPTIVO"") AS max_value FROM ""main"".""contraceptivos"""
main,contraceptivos,DESCRICAO,VARCHAR,12,0,0.0,small,exact,12,,12,True,1.0,Billings,Temperatura basal,0.0,"SELECT COUNT(*) FILTER (WHERE ""DESCRICAO"" IS NULL) AS null_count, COUNT(DISTINCT ""DESCRICAO"") AS distinct_count, MIN(""DESCRICAO"") AS min_value, MAX(""DESCRICAO"") AS max_value FROM ""main"".""contraceptivos"""
