left_table,left_key,right_table,right_key,business_meaning,left_rows,non_null_left_key,matched_rows,unmatched_rows,match_rate_non_null,confidence,accepted_usage_policy,sql,duration_seconds
internacoes,CNES,hospital,CNES,Hospital de atendimento pela chave CNES,183877219,183877219,183877219,0,1.0,confirmed,business_inner_join_allowed,"SELECT COUNT(*) AS left_rows, COUNT(l.""CNES"") AS non_null_left_key, COUNT(r.""CNES"") AS matched_rows, COUNT(*) - COUNT(r.""CNES"") AS unmatched_rows, COUNT(r.""CNES"")::DOUBLE / NULLIF(COUNT(l.""CNES""), 0) AS match_rate_non_null FROM ""internacoes"" l LEFT JOIN ""hospital"" r ON l.""CNES"" = r.""CNES"" WHERE l.""CNES"" IS NOT NULL",0.583
hospital,MUNIC_MOV,municipios,CO_MUNICIPIO_6D,Municipio de movimento/estabelecimento,6873,6873,6851,22,0.9967990688200203,confirmed,business_inner_join_allowed,"SELECT COUNT(*) AS left_rows, COUNT(l.""MUNIC_MOV"") AS non_null_left_key, COUNT(r.""CO_MUNICIPIO_6D"") AS matched_rows, COUNT(*) - COUNT(r.""CO_MUNICIPIO_6D"") AS unmatched_rows, COUNT(r.""CO_MUNICIPIO_6D"")::DOUBLE / NULLIF(COUNT(l.""MUNIC_MOV""), 0) AS match_rate_non_null FROM ""hospital"" l LEFT JOIN ""municipios"" r ON l.""MUNIC_MOV"" = r.""CO_MUNICIPIO_6D"" WHERE l.""MUNIC_MOV"" IS NOT NULL",0.002
internacoes,MUNIC_RES,municipios,CO_MUNICIPIO_6D,Municipio de residencia do usuario,183877219,183877219,182606822,1270397,0.9930910582240207,likely,left_join_or_explicit_mapped_scope_required,"SELECT COUNT(*) AS left_rows, COUNT(l.""MUNIC_RES"") AS non_null_left_key, COUNT(r.""CO_MUNICIPIO_6D"") AS matched_rows, COUNT(*) - COUNT(r.""CO_MUNICIPIO_6D"") AS unmatched_rows, COUNT(r.""CO_MUNICIPIO_6D"")::DOUBLE / NULLIF(COUNT(l.""MUNIC_RES""), 0) AS match_rate_non_null FROM ""internacoes"" l LEFT JOIN ""municipios"" r ON l.""MUNIC_RES"" = r.""CO_MUNICIPIO_6D"" WHERE l.""MUNIC_RES"" IS NOT NULL",0.566
internacoes,SEXO,sexo,SEXO,Sexo do usuario,183877219,183877219,183877219,0,1.0,confirmed,business_inner_join_allowed,"SELECT COUNT(*) AS left_rows, COUNT(l.""SEXO"") AS non_null_left_key, COUNT(r.""SEXO"") AS matched_rows, COUNT(*) - COUNT(r.""SEXO"") AS unmatched_rows, COUNT(r.""SEXO"")::DOUBLE / NULLIF(COUNT(l.""SEXO""), 0) AS match_rate_non_null FROM ""internacoes"" l LEFT JOIN ""sexo"" r ON l.""SEXO"" = r.""SEXO"" WHERE l.""SEXO"" IS NOT NULL",0.401
internacoes,RACA_COR,raca_cor,RACA_COR,Raca/cor informada,183877219,183877219,135116406,48760813,0.7348186291636268,rejected,audit_only,"SELECT COUNT(*) AS left_rows, COUNT(l.""RACA_COR"") AS non_null_left_key, COUNT(r.""RACA_COR"") AS matched_rows, COUNT(*) - COUNT(r.""RACA_COR"") AS unmatched_rows, COUNT(r.""RACA_COR"")::DOUBLE / NULLIF(COUNT(l.""RACA_COR""), 0) AS match_rate_non_null FROM ""internacoes"" l LEFT JOIN ""raca_cor"" r ON l.""RACA_COR"" = r.""RACA_COR"" WHERE l.""RACA_COR"" IS NOT NULL",0.456
internacoes,ETNIA,etnia,ETNIA,Etnia informada,183877219,183877219,375040,183502179,0.0020396218848622027,rejected,audit_only,"SELECT COUNT(*) AS left_rows, COUNT(l.""ETNIA"") AS non_null_left_key, COUNT(r.""ETNIA"") AS matched_rows, COUNT(*) - COUNT(r.""ETNIA"") AS unmatched_rows, COUNT(r.""ETNIA"")::DOUBLE / NULLIF(COUNT(l.""ETNIA""), 0) AS match_rate_non_null FROM ""internacoes"" l LEFT JOIN ""etnia"" r ON l.""ETNIA"" = r.""ETNIA"" WHERE l.""ETNIA"" IS NOT NULL",0.126
internacoes,NACIONAL,nacionalidade,NACIONAL,Nacionalidade,183877219,183877219,183877185,34,0.9999998150940057,confirmed,business_inner_join_allowed,"SELECT COUNT(*) AS left_rows, COUNT(l.""NACIONAL"") AS non_null_left_key, COUNT(r.""NACIONAL"") AS matched_rows, COUNT(*) - COUNT(r.""NACIONAL"") AS unmatched_rows, COUNT(r.""NACIONAL"")::DOUBLE / NULLIF(COUNT(l.""NACIONAL""), 0) AS match_rate_non_null FROM ""internacoes"" l LEFT JOIN ""nacionalidade"" r ON l.""NACIONAL"" = r.""NACIONAL"" WHERE l.""NACIONAL"" IS NOT NULL",0.35
internacoes,INSTRU,instrucao,INSTRU,Instrucao/escolaridade,183877219,183877219,1757501,182119718,0.009558013817905305,rejected,audit_only,"SELECT COUNT(*) AS left_rows, COUNT(l.""INSTRU"") AS non_null_left_key, COUNT(r.""INSTRU"") AS matched_rows, COUNT(*) - COUNT(r.""INSTRU"") AS unmatched_rows, COUNT(r.""INSTRU"")::DOUBLE / NULLIF(COUNT(l.""INSTRU""), 0) AS match_rate_non_null FROM ""internacoes"" l LEFT JOIN ""instrucao"" r ON l.""INSTRU"" = r.""INSTRU"" WHERE l.""INSTRU"" IS NOT NULL",0.138
internacoes,VINCPREV,vincprev,VINCPREV,Vinculo previdenciario,183877219,183877219,18864,183858355,0.00010259019634183177,rejected,audit_only,"SELECT COUNT(*) AS left_rows, COUNT(l.""VINCPREV"") AS non_null_left_key, COUNT(r.""VINCPREV"") AS matched_rows, COUNT(*) - COUNT(r.""VINCPREV"") AS unmatched_rows, COUNT(r.""VINCPREV"")::DOUBLE / NULLIF(COUNT(l.""VINCPREV""), 0) AS match_rate_non_null FROM ""internacoes"" l LEFT JOIN ""vincprev"" r ON l.""VINCPREV"" = r.""VINCPREV"" WHERE l.""VINCPREV"" IS NOT NULL",0.093
internacoes,CAR_INT,car_int,CAR_INT,Carater da internacao,183877219,183877219,183877219,0,1.0,confirmed,business_inner_join_allowed,"SELECT COUNT(*) AS left_rows, COUNT(l.""CAR_INT"") AS non_null_left_key, COUNT(r.""CAR_INT"") AS matched_rows, COUNT(*) - COUNT(r.""CAR_INT"") AS unmatched_rows, COUNT(r.""CAR_INT"")::DOUBLE / NULLIF(COUNT(l.""CAR_INT""), 0) AS match_rate_non_null FROM ""internacoes"" l LEFT JOIN ""car_int"" r ON l.""CAR_INT"" = r.""CAR_INT"" WHERE l.""CAR_INT"" IS NOT NULL",0.462
