table_schema,table_name,table_type,classificacao,row_count
main,car_int,BASE TABLE,dimensao/referencia,6
main,cbor,BASE TABLE,dimensao/referencia,2812
main,cid,BASE TABLE,dimensao/referencia,14253
main,complexidade,BASE TABLE,dimensao/referencia,3
main,contraceptivos,BASE TABLE,dimensao/referencia,12
main,especialidade,BASE TABLE,dimensao/referencia,70
main,etnia,BASE TABLE,dimensao/referencia,264
main,hospital,BASE TABLE,dimensao/referencia,6873
main,instrucao,BASE TABLE,dimensao/referencia,4
main,internacao_procedimento,BASE TABLE,fato/staging,187957888
main,internacoes,BASE TABLE,fato/staging,183877219
main,marca_uti,BASE TABLE,dimensao/referencia,17
main,municipios,BASE TABLE,dimensao/referencia,5589
main,nacionalidade,BASE TABLE,dimensao/referencia,332
main,procedimentos,BASE TABLE,dimensao/referencia,5394
main,raca_cor,BASE TABLE,dimensao/referencia,5
main,sexo,BASE TABLE,dimensao/referencia,3
main,socioeconomico,BASE TABLE,dimensao/referencia,72395
main,stg_hospital,BASE TABLE,outro,6873
main,stg_internacoes,BASE TABLE,fato/staging,183877219
main,stg_sexo,BASE TABLE,outro,2
main,tempo,BASE TABLE,dimensao/referencia,6210
main,vincprev,BASE TABLE,dimensao/referencia,6
main_dbt_test__audit,accepted_values_stg_internacoes_RACA_COR__0__1__2__3__4__5,BASE TABLE,dbt audit,0
main_dbt_test__audit,accepted_values_stg_sexo_SEXO__0__1__3,BASE TABLE,dbt audit,0
main_dbt_test__audit,dbt_utils_source_accepted_rang_1a18b2060f4c9f3544ea148aa02bd0ef,BASE TABLE,dbt audit,0
main_dbt_test__audit,dbt_utils_source_accepted_rang_3102aa068aea89a943afb942e0556f12,BASE TABLE,dbt audit,0
main_dbt_test__audit,dbt_utils_source_accepted_rang_3e54c8366885e58155d2f77835412cbe,BASE TABLE,dbt audit,0
main_dbt_test__audit,dbt_utils_source_accepted_rang_6890d7ed6eb2ca06debd4047d5b3d939,BASE TABLE,dbt audit,0
main_dbt_test__audit,dbt_utils_source_accepted_rang_777c86d82b14a00657691c6db817c463,BASE TABLE,dbt audit,0
main_dbt_test__audit,dbt_utils_source_accepted_rang_86cab16768069715b1d6349bd3387189,BASE TABLE,dbt audit,0
main_dbt_test__audit,dbt_utils_source_accepted_rang_92c019c1ee7790db14579fbb9093e5ec,BASE TABLE,dbt audit,1
main_dbt_test__audit,dbt_utils_source_accepted_rang_c2d40d6e54bd30fc3d6952faf9b46e1e,BASE TABLE,dbt audit,366
main_dbt_test__audit,dbt_utils_source_accepted_rang_c4b4734e30bb150d860146005c9ac02b,BASE TABLE,dbt audit,0
main_dbt_test__audit,dbt_utils_source_accepted_rang_c6958574dbb3d45d1d2b833f5085e83d,BASE TABLE,dbt audit,0
main_dbt_test__audit,dbt_utils_source_accepted_rang_cff276ae6c287df74a945008a6836741,BASE TABLE,dbt audit,0
main_dbt_test__audit,dbt_utils_source_accepted_rang_d8dbd07a1add6fa4a10c4e2a59a5265a,BASE TABLE,dbt audit,0
main_dbt_test__audit,dbt_utils_source_accepted_rang_e29b252a2897cb3cea258a2ea4e8cb7f,BASE TABLE,dbt audit,0
main_dbt_test__audit,dbt_utils_source_accepted_rang_ed47cb877c740a6929e10d626e4263e4,BASE TABLE,dbt audit,0
main_dbt_test__audit,dbt_utils_source_accepted_rang_f23e37c5d4fdb7ffbad61bd94cc048cc,BASE TABLE,dbt audit,0
main_dbt_test__audit,dbt_utils_source_accepted_range_main_etnia_ETNIA__266__0,BASE TABLE,dbt audit,0
main_dbt_test__audit,dbt_utils_source_accepted_range_main_internacoes_DIAS_PERM__0,BASE TABLE,dbt audit,0
main_dbt_test__audit,dbt_utils_source_accepted_range_main_internacoes_IDADE__150__0,BASE TABLE,dbt audit,0
main_dbt_test__audit,dbt_utils_source_accepted_range_main_internacoes_NUM_FILHOS__0,BASE TABLE,dbt audit,0
main_dbt_test__audit,dbt_utils_source_accepted_range_main_internacoes_VAL_SH__0,BASE TABLE,dbt audit,0
main_dbt_test__audit,dbt_utils_source_accepted_range_main_internacoes_VAL_SP__0,BASE TABLE,dbt audit,0
main_dbt_test__audit,dbt_utils_source_accepted_range_main_internacoes_VAL_TOT__0,BASE TABLE,dbt audit,0
main_dbt_test__audit,dbt_utils_source_accepted_range_main_internacoes_VAL_UTI__0,BASE TABLE,dbt audit,0
main_dbt_test__audit,dbt_utils_source_accepted_range_main_tempo_ano__2023__2007,BASE TABLE,dbt audit,366
main_dbt_test__audit,dbt_utils_source_accepted_range_main_tempo_mes__12__1,BASE TABLE,dbt audit,0
main_dbt_test__audit,hospital_cnes_munic_mov,BASE TABLE,dbt audit,0
main_dbt_test__audit,internacoes_contracep1_sexo,BASE TABLE,dbt audit,83955
main_dbt_test__audit,internacoes_diar_acom_dias_perm,BASE TABLE,dbt audit,553
main_dbt_test__audit,internacoes_dt_saida_dt_inter,BASE TABLE,dbt audit,0
main_dbt_test__audit,internacoes_etnia_raca_cor,BASE TABLE,dbt audit,0
main_dbt_test__audit,internacoes_gestrisco_sexo,BASE TABLE,dbt audit,75730745
main_dbt_test__audit,internacoes_idade,BASE TABLE,dbt audit,15981798
main_dbt_test__audit,internacoes_insc_pn_sexo,BASE TABLE,dbt audit,3456
main_dbt_test__audit,internacoes_morte_cid_morte,BASE TABLE,dbt audit,0
main_dbt_test__audit,internacoes_morte_false_cid_morte,BASE TABLE,dbt audit,928
main_dbt_test__audit,internacoes_nasc_dt_inter,BASE TABLE,dbt audit,0
main_dbt_test__audit,internacoes_raca_cor_etnia,BASE TABLE,dbt audit,0
main_dbt_test__audit,internacoes_uti_int_to_marca_uti,BASE TABLE,dbt audit,46
main_dbt_test__audit,internacoes_val_uti_marca_uti,BASE TABLE,dbt audit,95794
main_dbt_test__audit,not_null_stg_sexo_DESCRICAO,BASE TABLE,dbt audit,0
main_dbt_test__audit,relationships_stg_hospital_754a726ab74be14d40cb0a09e04b4adf,BASE TABLE,dbt audit,0
main_dbt_test__audit,relationships_stg_internacoes_2cbe6b3f20ef954f92638adc0d5722d4,BASE TABLE,dbt audit,182119635
main_dbt_test__audit,relationships_stg_internacoes_58e51ce9b68822857f95bfdc62d16ef5,BASE TABLE,dbt audit,182732638
main_dbt_test__audit,relationships_stg_internacoes_6774ac624f86bcbf606e9d38e92e3a71,BASE TABLE,dbt audit,0
main_dbt_test__audit,relationships_stg_internacoes_9797541b51e3e77fbfaf1558436792d8,BASE TABLE,dbt audit,48760813
main_dbt_test__audit,relationships_stg_internacoes_CID_MORTE__CID__source_main_cid_,BASE TABLE,dbt audit,0
