schema_name,table_name,has_primary_key,estimated_size,column_count,index_count,check_constraint_count,sql
main,car_int,True,6,2,1,0,"CREATE TABLE car_int(CAR_INT TINYINT, DESCRICAO VARCHAR, PRIMARY KEY(CAR_INT));"
main,cbor,True,2812,2,1,0,"CREATE TABLE cbor(CBOR VARCHAR, DESCRICAO VARCHAR, PRIMARY KEY(CBOR));"
main,cid,True,14253,7,1,0,"CREATE TABLE cid(CID VARCHAR, DESCRICAO VARCHAR, TP_NIVEL VARCHAR, RESTRSEXO VARCHAR, DS_CATEGORIA VARCHAR, DS_GRUPO VARCHAR, DS_CAPITULO VARCHAR, PRIMARY KEY(CID));"
main,complexidade,True,3,2,1,0,"CREATE TABLE complexidade(COMPLEX VARCHAR, DESCRICAO VARCHAR, PRIMARY KEY(COMPLEX));"
main,contraceptivos,True,12,2,1,0,"CREATE TABLE contraceptivos(CONTRACEPTIVO TINYINT, DESCRICAO VARCHAR, PRIMARY KEY(CONTRACEPTIVO));"
main,especialidade,True,70,2,1,0,"CREATE TABLE especialidade(ESPEC TINYINT, DESCRICAO VARCHAR, PRIMARY KEY(ESPEC));"
main,etnia,True,264,2,1,0,"CREATE TABLE etnia(ETNIA SMALLINT, DESCRICAO VARCHAR, PRIMARY KEY(ETNIA));"
main,hospital,True,6873,6,1,0,"CREATE TABLE hospital(CNES INTEGER, NO_HOSPITAL VARCHAR, MUNIC_MOV INTEGER, NATUREZA VARCHAR, GESTAO VARCHAR, NAT_JUR VARCHAR, PRIMARY KEY(CNES));"
main,instrucao,True,4,2,1,0,"CREATE TABLE instrucao(INSTRU TINYINT, DESCRICAO VARCHAR, PRIMARY KEY(INSTRU));"
main,internacao_procedimento,True,187957888,3,1,0,"CREATE TABLE internacao_procedimento(id_atendimento UBIGINT, N_AIH BIGINT, PROC_REA BIGINT, PRIMARY KEY(id_atendimento));"
main,internacoes,True,183877219,46,1,0,"CREATE TABLE internacoes(N_AIH BIGINT, CNES INTEGER, DT_INTER DATE, DT_SAIDA DATE, DIAS_PERM SMALLINT, DIAR_ACOM SMALLINT, CAR_INT TINYINT, ESPEC TINYINT, COMPLEX VARCHAR, MARCA_UTI TINYINT, UTI_INT_TO TINYINT, IND_VDRL BOOLEAN, MORTE BOOLEAN, GESTRISCO BOOLEAN, DIAG_PRINC VARCHAR, DIAG_SECUN VARCHAR, CID_MORTE VARCHAR, CID_NOTIF VARCHAR, DIAGSEC1 VARCHAR, DIAGSEC2 VARCHAR, DIAGSEC3 VARCHAR, DIAGSEC4 VARCHAR, DIAGSEC5 VARCHAR, DIAGSEC6 VARCHAR, DIAGSEC7 VARCHAR, DIAGSEC8 VARCHAR, DIAGSEC9 VARCHAR, VAL_SH DOUBLE, VAL_SP DOUBLE, VAL_UTI DOUBLE, VAL_TOT DOUBLE, NASC DATE, IDADE SMALLINT, SEXO TINYINT, RACA_COR TINYINT, ETNIA SMALLINT, NACIONAL SMALLINT, INSTRU TINYINT, VINCPREV TINYINT, CBOR VARCHAR, MUNIC_RES INTEGER, CEP VARCHAR, NUM_FILHOS TINYINT, CONTRACEP1 TINYINT, CONTRACEP2 TINYINT, INSC_PN VARCHAR, PRIMARY KEY(N_AIH));"
main,marca_uti,True,17,2,1,0,"CREATE TABLE marca_uti(MARCA_UTI TINYINT, DESCRICAO VARCHAR, PRIMARY KEY(MARCA_UTI));"
