table_schema,table_name,row_count,persistent_block_count,estimated_bytes,estimated_gib,database_size,sql,duration_seconds
main,car_int,6,1,262144,0.0002,25.0 GiB,PRAGMA storage_info('car_int'),0.001
main,cbor,2812,1,262144,0.0002,25.0 GiB,PRAGMA storage_info('cbor'),0.001
main,cid,14253,2,524288,0.0005,25.0 GiB,PRAGMA storage_info('cid'),0.001
main,complexidade,3,1,262144,0.0002,25.0 GiB,PRAGMA storage_info('complexidade'),0.0
main,contraceptivos,12,1,262144,0.0002,25.0 GiB,PRAGMA storage_info('contraceptivos'),0.001
main,especialidade,70,1,262144,0.0002,25.0 GiB,PRAGMA storage_info('especialidade'),0.001
main,etnia,264,1,262144,0.0002,25.0 GiB,PRAGMA storage_info('etnia'),0.0
main,hospital,6873,1,262144,0.0002,25.0 GiB,PRAGMA storage_info('hospital'),0.0
main,instrucao,4,1,262144,0.0002,25.0 GiB,PRAGMA storage_info('instrucao'),0.001
main,internacao_procedimento,187957888,5794,1518862336,1.4146,25.0 GiB,PRAGMA storage_info('internacao_procedimento'),2.118
main,internacoes,183877219,33612,8811184128,8.2061,25.0 GiB,PRAGMA storage_info('internacoes'),6.497
main,marca_uti,17,1,262144,0.0002,25.0 GiB,PRAGMA storage_info('marca_uti'),0.043
main,municipios,5589,1,262144,0.0002,25.0 GiB,PRAGMA storage_info('municipios'),0.001
main,nacionalidade,332,1,262144,0.0002,25.0 GiB,PRAGMA storage_info('nacionalidade'),0.001
main,procedimentos,5394,1,262144,0.0002,25.0 GiB,PRAGMA storage_info('procedimentos'),0.001
main,raca_cor,5,1,262144,0.0002,25.0 GiB,PRAGMA storage_info('raca_cor'),0.001
main,sexo,3,1,262144,0.0002,25.0 GiB,PRAGMA storage_info('sexo'),0.0
main,socioeconomico,72395,7,1835008,0.0017,25.0 GiB,PRAGMA storage_info('socioeconomico'),0.002
main,stg_hospital,6873,1,262144,0.0002,25.0 GiB,PRAGMA storage_info('stg_hospital'),0.001
main,stg_internacoes,183877219,32005,8389918720,7.8137,25.0 GiB,PRAGMA storage_info('stg_internacoes'),9.957
main,stg_sexo,2,1,262144,0.0002,25.0 GiB,PRAGMA storage_info('stg_sexo'),0.037
main,tempo,6210,1,262144,0.0002,25.0 GiB,PRAGMA storage_info('tempo'),0.001
main,vincprev,6,1,262144,0.0002,25.0 GiB,PRAGMA storage_info('vincprev'),0.0
