table_name,column_name,business_meaning,rank,value,row_count,sql,duration_seconds
internacoes,CAR_INT,carater da internacao,1,2,145586729,"SELECT ""CAR_INT"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.216
internacoes,CAR_INT,carater da internacao,2,1,36515288,"SELECT ""CAR_INT"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.216
internacoes,CAR_INT,carater da internacao,3,6,1138155,"SELECT ""CAR_INT"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.216
internacoes,CAR_INT,carater da internacao,4,5,635768,"SELECT ""CAR_INT"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.216
internacoes,CAR_INT,carater da internacao,5,3,1060,"SELECT ""CAR_INT"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.216
internacoes,CAR_INT,carater da internacao,6,4,219,"SELECT ""CAR_INT"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.216
internacoes,ESPEC,especialidade,1,3,66592564,"SELECT ""ESPEC"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.176
internacoes,ESPEC,especialidade,2,1,57484340,"SELECT ""ESPEC"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.176
internacoes,ESPEC,especialidade,3,2,34051416,"SELECT ""ESPEC"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.176
internacoes,ESPEC,especialidade,4,7,19967078,"SELECT ""ESPEC"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.176
internacoes,ESPEC,especialidade,5,5,2847736,"SELECT ""ESPEC"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.176
internacoes,ESPEC,especialidade,6,9,1545414,"SELECT ""ESPEC"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.176
internacoes,ESPEC,especialidade,7,4,339853,"SELECT ""ESPEC"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.176
internacoes,ESPEC,especialidade,8,8,253952,"SELECT ""ESPEC"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.176
internacoes,ESPEC,especialidade,9,14,235106,"SELECT ""ESPEC"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.176
internacoes,ESPEC,especialidade,10,87,230078,"SELECT ""ESPEC"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.176
internacoes,COMPLEX,complexidade,1,02,171675245,"SELECT ""COMPLEX"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.221
internacoes,COMPLEX,complexidade,2,03,12201962,"SELECT ""COMPLEX"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.221
internacoes,COMPLEX,complexidade,3,00,12,"SELECT ""COMPLEX"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.221
